item_id,category,department,from_state_name,to_state_name,staff_id,transition_date_time,transition_order,duration_secs,cumulative_duration_secs,price
38816,Forks,Kitchen and Dining,PACKED,DROPPED,122,2019-01-23T20:54:53.157000+00:00,19,10,41143484,95.86
39438,Forks,Kitchen and Dining,PICKED,PACKING,120,2019-01-29T00:31:40.573000+00:00,6,12841,41495235,111.55
39438,Forks,Kitchen and Dining,PACKING,PACKED,120,2019-01-29T00:34:11.527000+00:00,7,151,41495386,111.55
39438,Forks,Kitchen and Dining,PICKING,PICKED,135,2019-01-28T20:57:39.408000+00:00,5,36,41482394,111.55
39438,Forks,Kitchen and Dining,ORDERED,PICKING,135,2019-01-28T20:57:03.638000+00:00,4,94024,41482358,111.55
39438,Forks,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-27T18:49:59.732000+00:00,3,41367778,41388334,111.55
39438,Forks,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-29T00:51:52.735000+00:00,9,1052,41496447,111.55
39438,Forks,Kitchen and Dining,PACKED,DROPPED,120,2019-01-29T00:34:20.642000+00:00,8,9,41495395,111.55
39955,Forks,Kitchen and Dining,PICKING,PICKED,117,2019-01-15T18:06:18.310000+00:00,5,0,40335773,9.55
39955,Forks,Kitchen and Dining,ORDERED,PICKING,117,2019-01-15T18:06:18.295000+00:00,4,7709,40335773,9.55
39955,Forks,Kitchen and Dining,PICKED,PACKING,120,2019-01-15T18:59:14.966000+00:00,6,3176,40338949,9.55
39955,Forks,Kitchen and Dining,PACKING,PACKED,120,2019-01-15T18:59:59.675000+00:00,7,45,40338994,9.55
39955,Forks,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-15T15:57:49.262000+00:00,3,40320488,40328064,9.55
39955,Forks,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-15T19:12:01.267000+00:00,9,611,40339716,9.55
39955,Forks,Kitchen and Dining,PACKED,DROPPED,120,2019-01-15T19:01:50.906000+00:00,8,111,40339105,9.55
40084,Spoons,Kitchen and Dining,PICKING,PICKED,135,2019-01-28T19:13:42.197000+00:00,13,26,41459274,39.55
40084,Spoons,Kitchen and Dining,ORDERED,PICKING,135,2019-01-28T19:13:16.871000+00:00,12,21345,41459248,39.55
40084,Spoons,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-28T22:36:03.553000+00:00,17,2550,41471415,39.55
40084,Spoons,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-28T13:17:31.570000+00:00,11,35651540,41437903,39.55
40084,Spoons,Kitchen and Dining,PACKING,PACKED,122,2019-01-28T21:53:05.618000+00:00,15,29,41468837,39.55
40084,Spoons,Kitchen and Dining,PICKED,PACKING,122,2019-01-28T21:52:36.222000+00:00,14,9534,41468808,39.55
